question,answer,explanation,chapter
"For PCT applications, the effective prior art date under pre-AIA 35 USC § 102(e) is the date on which the requirements of 35 USC § 371(c)(1), (2), and (4) are fulfilled.",True,"Per pre-AIA 35 USC § 102(e) and MPEP § 1857.01, the effective prior art date for a PCT application that becomes a U.S. patent is when the requirements of § 371(c)(1), (2), and (4) are met.",1800 - Patent Cooperation Treaty
"For a PCT application to serve as prior art under pre-AIA 35 USC § 102(e), the international filing date is always the effective prior art date.",False,"Per pre-AIA 35 USC § 102(e) and MPEP § 1857.01, the effective date is when the requirements of § 371(c)(1), (2), and (4) are fulfilled, not automatically the international filing date.",1800 - Patent Cooperation Treaty
"If a PCT application is published and later issues as a U.S. patent, the publication date becomes the effective prior art date under pre-AIA 35 USC § 102(e).",False,"Per pre-AIA 35 USC § 102(e) and MPEP § 1857.01, the effective prior art date is when the requirements of § 371(c)(1), (2), and (4) are fulfilled, not the publication date.",1800 - Patent Cooperation Treaty
"The requirements of 35 USC § 371(c)(1), (2), and (4) include submitting a copy of the international application, an English translation if not in English, and an oath or declaration of the inventor.",True,"Per 35 USC § 371(c), these specific requirements are (1) a copy of the international application, (2) a translation if not in English, and (4) an oath or declaration of the inventor.",1800 - Patent Cooperation Treaty
"To obtain an international filing date under the PCT, an application must include the name of the inventor.",False,"Per PCT Article 11(1)(iii)(c) and PCT Rule 4.1(a)(iv), the application need only include the name of the applicant, not necessarily the inventor, to receive an international filing date.",1800 - Patent Cooperation Treaty
Designation of at least one PCT contracting state is required to obtain an international filing date for a PCT application.,True,"Per PCT Article 11(1)(iii)(b), designation of at least one contracting state is required to obtain an international filing date.",1800 - Patent Cooperation Treaty
An application filed under the PCT must include at least one claim to receive an international filing date.,False,"Per PCT Article 11(1)(iii)(e), the application must include 'a part which on the face of it appears to be a claim or claims,' not necessarily a complete claim that meets all formal requirements.",1800 - Patent Cooperation Treaty
The language requirement for obtaining an international filing date for a PCT application depends on the receiving office where the application is filed.,True,"Per PCT Article 11(1)(ii) and PCT Rule 12, the application must be in a language accepted by the receiving office to obtain an international filing date.",1800 - Patent Cooperation Treaty
"When entering the U.S. national stage, an applicant may defer submission of the oath or declaration until after the 30-month deadline if the basic national fee is paid before the deadline.",True,"Per 37 CFR § 1.495(c) and MPEP § 1893.01(e), the oath or declaration may be submitted after the 30-month period, provided the basic national fee was timely paid.",1800 - Patent Cooperation Treaty
"If a PCT application enters the U.S. national stage and issues as a patent, the patent is effective as prior art under pre-AIA 35 USC § 102(e) as of the issue date of the patent.",False,"Per pre-AIA 35 USC § 102(e) and MPEP § 1857.01, the effective prior art date is when the requirements of § 371(c)(1), (2), and (4) are fulfilled, not the issue date.",1800 - Patent Cooperation Treaty
An explicit statement that the application is intended to be an international application is required to secure an international filing date under the PCT.,True,"Per PCT Article 11(1)(i), an express indication that the application is intended to be an international application is required for an international filing date.",1800 - Patent Cooperation Treaty
